1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
2/A,17/H,3/A,7/H,13/A,20/H,5/A,15/A,14/H,4/H,6/A,12/H,18/A,8/H,11/H,9/H,16/H,19/A,10/A,16/A,9/A,2/H,20/A,6/H,8/A,12/A,7/A,18/H,17/A,15/H,19/H,4/A,14/A,11/A,3/H,10/H,5/H,13/H
1/H,5/H,15/H,12/H,9/H,14/A,3/H,18/H,8/A,10/A,7/A,16/H,17/H,6/H,4/A,13/A,11/H,20/H,19/A,18/A,8/H,1/A,7/H,4/H,12/A,16/A,14/H,10/H,15/A,19/H,3/A,11/A,13/H,6/A,5/A,9/A,17/A,20/A
14/H,11/A,1/H,17/H,19/A,9/H,2/A,12/A,13/H,18/A,15/H,5/A,4/H,16/H,20/H,10/A,8/A,6/A,7/H,15/A,19/H,14/A,11/H,10/H,4/A,13/A,9/A,12/H,16/A,6/H,2/H,8/H,7/A,18/H,1/A,17/A,20/A,5/H
13/A,8/H,11/H,14/H,10/H,16/A,9/H,7/A,20/H,1/A,12/H,17/H,3/A,5/H,2/H,18/H,19/A,15/A,6/A,5/A,18/A,16/H,6/H,2/A,3/H,8/A,10/A,7/H,14/A,17/A,12/A,1/H,15/H,13/H,19/H,20/A,11/A,9/A
16/A,2/A,8/A,10/H,15/A,18/A,1/H,13/A,6/A,7/H,14/H,3/H,11/H,4/A,19/H,20/H,9/A,12/A,17/A,4/H,17/H,15/H,8/H,14/A,13/H,11/A,20/A,6/H,18/H,16/H,7/A,10/A,9/H,19/A,2/H,12/H,1/A,3/A
12/A,10/H,13/A,11/H,16/A,7/H,20/A,8/H,5/H,17/A,1/H,18/A,19/H,2/A,9/A,15/H,14/H,3/H,4/H,20/H,15/A,13/H,4/A,1/A,14/A,19/A,8/A,5/A,9/H,3/A,18/H,17/H,10/A,2/H,16/H,7/A,12/H,11/A
11/H,14/H,16/H,1/A,8/H,6/A,19/H,4/H,10/H,5/A,2/H,13/H,20/A,12/H,15/H,17/A,18/A,9/H,3/A,8/A,16/A,17/H,2/A,13/A,18/H,15/A,1/H,4/A,11/A,20/H,5/H,14/A,3/H,9/A,10/A,6/H,19/A,12/A
19/H,4/A,5/H,13/H,7/A,17/A,18/H,6/A,2/H,20/A,16/A,9/A,15/H,1/A,12/H,14/A,3/H,10/H,11/H,7/H,2/A,11/A,5/A,18/A,1/H,4/H,6/H,19/A,12/A,10/A,9/H,3/A,20/H,16/H,15/A,13/A,14/H,17/H
20/A,15/A,17/H,16/H,2/A,3/A,4/A,10/H,18/H,13/A,19/A,8/H,12/H,11/A,6/H,1/A,5/H,7/A,14/H,10/A,1/H,20/H,16/A,19/H,17/A,14/A,3/H,15/H,6/A,18/A,8/A,12/A,5/A,7/H,11/H,2/H,13/H,4/H
18/H,6/A,20/A,5/A,4/A,15/H,16/H,9/A,7/A,2/H,17/A,11/A,14/A,19/H,13/H,3/H,12/H,8/A,1/H,9/H,12/A,18/A,15/A,3/A,11/H,17/H,4/H,2/A,13/A,8/H,20/H,5/H,6/H,14/H,7/H,1/A,16/A,19/A
